id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game_id,player_id,team_id
12652160,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858126,217,26
12652161,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858126,273,26
12652166,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858126,666821,26
12660101,3,1,6,1.0,1,1,0.889,9,8,1.0,3,3,35,0,3,20,6,0,1,858140,3547294,11
12660102,3,0,7,0.667,3,2,0.444,9,4,0.8,5,4,33,1,2,14,8,0,3,858140,38017684,11
12660103,4,0,2,0.0,0,0,0.6,10,6,0.75,12,9,33,2,5,21,4,2,2,858140,17896062,11
12660104,5,0,3,0.4,5,2,0.667,15,10,0.857,7,6,34,0,4,28,3,1,1,858140,178,11
12660107,0,0,4,0.0,2,0,0.2,5,1,0.0,0,0,13,0,2,2,4,0,0,858140,38017695,11
12660108,1,2,5,0.0,0,0,0.0,3,0,0.5,2,1,14,1,4,1,6,0,2,858140,666564,11
12660106,1,1,0,1.0,1,1,0.875,8,7,0.0,0,0,19,0,1,15,0,2,1,858140,17896023,11
12660120,2,1,5,0.0,2,0,0.286,7,2,0.556,9,5,29,3,6,9,8,1,2,858140,3547249,28
12660121,2,0,1,0.556,9,5,0.667,15,10,1.0,4,4,38,0,2,29,1,0,1,858140,3089,28
12660122,4,0,5,0.455,11,5,0.455,22,10,0.778,9,7,37,0,1,32,5,1,0,858140,458,28
12660126,2,0,2,0.0,2,0,0.0,3,0,0.0,0,0,16,0,0,0,2,2,0,858140,3547275,28
12660125,0,3,5,0.25,4,1,0.455,11,5,,0,0,23,3,2,11,8,1,1,858140,58,28
12660128,2,2,6,0.0,0,0,0.0,0,0,0.0,0,0,17,1,4,0,7,2,0,858140,38017710,28
12660123,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,02,0,2,0,0,0,1,858140,17896094,28
12660127,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,05,0,0,0,0,0,0,858140,206,28
12660124,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858140,46,28
12660129,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858140,489,28
12660130,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858140,18,28
12660131,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858140,17553988,28
12660132,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858140,38017717,28
12660133,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858140,376,28
12660112,0,0,1,0.0,0,0,0.2,5,1,0.25,4,1,17,1,2,3,2,0,1,858140,3547301,11
12660111,0,0,2,0.0,2,0,0.0,2,0,0.0,0,0,07,0,0,0,2,0,1,858140,666754,11
12660113,0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,02,0,0,0,0,0,0,858140,38017691,11
12660109,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858140,17896070,11
12680501,1,0,3,0.5,12,6,0.563,16,9,,0,0,41,2,1,24,5,3,1,858238,356,24
12680502,0,0,5,0.667,3,2,0.333,6,2,,0,0,27,1,3,6,6,0,0,858238,110,24
12680503,0,1,6,,0,0,0.615,13,8,1.0,2,2,32,0,4,18,6,0,1,858238,22,24
12680504,9,1,3,0.167,6,1,0.375,16,6,0.857,7,6,35,0,5,19,3,0,5,858238,57,24
12680505,11,0,2,0.0,1,0,0.25,8,2,0.333,3,1,33,1,0,5,3,4,2,858238,367,24
12680506,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858238,666429,24
12680507,2,0,4,0.0,0,0,1.0,2,2,0.0,0,0,12,0,1,4,4,1,1,858238,48,24
12680508,1,0,0,0.0,0,0,0.0,1,0,1.0,2,2,04,1,1,2,1,0,0,858238,19465326,24
12680509,1,0,1,1.0,1,1,0.75,4,3,0.0,0,0,08,0,1,7,1,1,1,858238,272,24
12680510,0,0,2,0.0,0,0,0.5,4,2,0.0,0,0,08,0,2,4,2,1,1,858238,3547298,24
12680511,4,0,3,0.125,8,1,0.412,17,7,0.5,2,1,25,1,2,16,4,0,0,858238,402,24
12680512,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,07,0,3,0,0,0,0,858238,17896120,24
12680513,0,0,2,0.0,0,0,0.5,2,1,0.0,0,0,08,1,1,2,3,0,0,858238,469,24
12680514,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858238,140,24
12680515,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858238,368,24
12680516,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858238,414,24
12680517,3,0,0,0.0,4,0,0.333,6,2,,0,0,19,0,4,4,0,0,0,858238,328,13
12680519,1,0,6,,0,0,0.667,9,6,0.5,2,1,29,6,3,13,12,1,2,858238,493,13
12680528,7,0,1,0.4,5,2,0.375,8,3,1.0,5,5,26,0,1,13,1,2,0,858238,178,13
12680529,1,0,3,1.0,1,1,0.5,4,2,1.0,4,4,16,0,1,9,3,1,3,858238,17896031,13
12680530,3,1,6,0.0,0,0,1.0,2,2,1.0,2,2,18,0,3,6,6,1,0,858238,371,13
12680521,3,0,4,0.75,4,3,0.833,12,10,0.75,4,3,35,0,3,26,4,1,2,858238,666743,13
12680522,2,0,2,0.25,4,1,0.25,4,1,0.0,0,0,24,0,0,3,2,0,1,858238,33,13
12680523,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858238,17896022,13
12680531,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858238,17896042,13
12681312,1,0,5,0.4,5,2,0.538,13,7,1.0,5,5,31,0,4,21,5,0,1,858248,17896026,22
12681313,6,0,5,0.0,1,0,0.308,13,4,0.6,5,3,32,1,1,11,6,0,2,858248,38017683,22
12681315,2,0,0,0.5,8,4,0.5,8,4,0.0,0,0,28,0,3,12,0,2,0,858248,196,22
12681316,8,1,2,0.5,2,1,0.429,14,6,1.0,1,1,30,0,0,14,2,2,2,858248,165,22
12681320,1,1,6,0.667,3,2,0.667,6,4,,0,0,16,1,1,10,7,2,2,858248,229,22
12681323,1,1,2,0.0,2,0,0.125,8,1,0.0,0,0,21,1,3,2,3,0,2,858248,17896073,22
12681324,1,0,2,0.0,1,0,0.75,4,3,0.75,4,3,16,0,1,9,2,0,1,858248,462,22
12681331,5,0,3,0.25,4,1,0.4,10,4,1.0,3,3,32,0,4,12,3,0,3,858248,3547241,9
12681332,3,1,4,1.0,4,4,1.0,4,4,0.667,6,4,19,1,2,16,5,2,1,858248,77,9
12681333,1,1,3,0.0,0,0,0.5,10,5,1.0,2,2,20,0,2,12,3,2,3,858248,128,9
12681334,1,1,1,0.25,4,1,0.333,6,2,,0,0,15,0,1,5,1,0,0,858248,251,9
12681335,1,1,2,0.6,5,3,0.6,5,3,0.0,0,0,21,0,3,9,2,0,1,858248,17896071,9
12681337,0,1,8,0.0,1,0,0.4,10,4,0.0,0,0,24,2,3,8,10,0,3,858248,3547240,9
