,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team_id,visitor_team_id,home_team_abr,visitor_team_abr,home_team_abr.1,visitor_team_abr.1,home_team_abr.2,visitor_team_abr.2,home_team_abr.3,visitor_team_abr.3,home_team_abr,visitor_team_abr
37,857408,2022-10-25T00:00:00.000Z,134,4,False,2022,Final,Final,105,24,10,PHX,GSW,PHX,GSW,PHX,GSW,PHX,GSW,PHX,GSW
38,857402,2022-10-24T00:00:00.000Z,120,4,False,2022,Final,Final,102,5,2,CHI,BOS,CHI,BOS,CHI,BOS,CHI,BOS,CHI,BOS
39,857415,2022-10-26T00:00:00.000Z,124,4,False,2022,Final,Final,109,5,12,CHI,IND,CHI,IND,CHI,IND,CHI,IND,CHI,IND
40,857405,2022-10-24T00:00:00.000Z,135,4,False,2022,Final,Final,110,25,8,POR,DEN,POR,DEN,POR,DEN,POR,DEN,POR,DEN
41,857413,2022-10-26T00:00:00.000Z,103,4,False,2022,Final,Final,92,6,22,CLE,ORL,CLE,ORL,CLE,ORL,CLE,ORL,CLE,ORL
42,857414,2022-10-26T00:00:00.000Z,134,5,False,2022,Final,Final,131,20,4,NYK,CHA,NYK,CHA,NYK,CHA,NYK,CHA,NYK,CHA
43,857407,2022-10-25T00:00:00.000Z,120,4,False,2022,Final,Final,99,30,9,WAS,DET,WAS,DET,WAS,DET,WAS,DET,WAS,DET
44,857411,2022-10-26T00:00:00.000Z,110,4,False,2022,Final,Final,99,8,14,DEN,LAL,DEN,LAL,DEN,LAL,DEN,LAL,DEN,LAL
45,857417,2022-10-26T00:00:00.000Z,110,4,False,2022,Final,Final,99,17,3,MIL,BKN,MIL,BKN,MIL,BKN,MIL,BKN,MIL,BKN
46,857412,2022-10-26T00:00:00.000Z,119,4,False,2022,Final,Final,109,28,23,TOR,PHI,TOR,PHI,TOR,PHI,TOR,PHI,TOR,PHI
47,857416,2022-10-26T00:00:00.000Z,134,4,False,2022,Final,Final,122,18,27,MIN,SAS,MIN,SAS,MIN,SAS,MIN,SAS,MIN,SAS
48,857410,2022-10-26T00:00:00.000Z,98,4,False,2022,Final,Final,119,25,16,POR,MIA,POR,MIA,POR,MIA,POR,MIA,POR,MIA
49,858055,2023-01-22T00:00:00.000Z,116,4,False,2022,Final,Final,120,10,3,GSW,BKN,GSW,BKN,GSW,BKN,GSW,BKN,GSW,BKN
50,858047,2023-01-21T00:00:00.000Z,114,4,False,2022,Final,Final,102,6,17,CLE,MIL,CLE,MIL,CLE,MIL,CLE,MIL,CLE,MIL
51,858063,2023-01-23T00:00:00.000Z,133,4,False,2022,Final,Final,100,26,15,SAC,MEM,SAC,MEM,SAC,MEM,SAC,MEM,SAC,MEM
52,858072,2023-01-24T00:00:00.000Z,128,4,False,2022,Final,Final,97,24,4,PHX,CHA,PHX,CHA,PHX,CHA,PHX,CHA,PHX,CHA
53,858077,2023-01-25T00:00:00.000Z,137,4,False,2022,Final,Final,133,23,3,PHI,BKN,PHI,BKN,PHI,BKN,PHI,BKN,PHI,BKN
54,858085,2023-01-26T00:00:00.000Z,111,4,False,2022,Final,Final,96,4,5,CHA,CHI,CHA,CHI,CHA,CHI,CHA,CHI,CHA,CHI
55,858159,2023-02-05T00:00:00.000Z,128,4,False,2022,Final,Final,98,18,8,MIN,DEN,MIN,DEN,MIN,DEN,MIN,DEN,MIN,DEN
56,858163,2023-02-06T00:00:00.000Z,116,4,False,2022,Final,Final,124,3,13,BKN,LAC,BKN,LAC,BKN,LAC,BKN,LAC,BKN,LAC
57,858173,2023-02-07T00:00:00.000Z,104,4,False,2022,Final,Final,89,15,5,MEM,CHI,MEM,CHI,MEM,CHI,MEM,CHI,MEM,CHI
58,858188,2023-02-09T00:00:00.000Z,106,4,False,2022,Final,Final,115,14,17,LAL,MIL,LAL,MIL,LAL,MIL,LAL,MIL,LAL,MIL
59,858201,2023-02-11T00:00:00.000Z,127,4,False,2022,Final,Final,113,30,12,WAS,IND,WAS,IND,WAS,IND,WAS,IND,WAS,IND
60,858220,2023-02-13T00:00:00.000Z,117,4,False,2022,Final,Final,123,12,29,IND,UTA,IND,UTA,IND,UTA,IND,UTA,IND,UTA
61,858226,2023-02-14T00:00:00.000Z,134,4,False,2022,Final,Final,124,13,10,LAC,GSW,LAC,GSW,LAC,GSW,LAC,GSW,LAC,GSW
62,858232,2023-02-15T00:00:00.000Z,101,4,False,2022,Final,Final,122,1,20,ATL,NYK,ATL,NYK,ATL,NYK,ATL,NYK,ATL,NYK
63,858245,2023-02-23T00:00:00.000Z,124,4,False,2022,Final,Final,111,14,10,LAL,GSW,LAL,GSW,LAL,GSW,LAL,GSW,LAL,GSW
64,858251,2023-02-24T00:00:00.000Z,175,6,False,2022,Final,Final,176,13,26,LAC,SAC,LAC,SAC,LAC,SAC,LAC,SAC,LAC,SAC
65,858261,2023-02-25T00:00:00.000Z,118,4,False,2022,Final,Final,102,29,27,UTA,SAS,UTA,SAS,UTA,SAS,UTA,SAS,UTA,SAS
66,858268,2023-02-26T00:00:00.000Z,108,4,False,2022,Final,Final,111,7,14,DAL,LAL,DAL,LAL,DAL,LAL,DAL,LAL,DAL,LAL
67,858283,2023-02-28T00:00:00.000Z,117,4,False,2022,Final,Final,123,21,26,OKC,SAC,OKC,SAC,OKC,SAC,OKC,SAC,OKC,SAC
68,858292,2023-03-01T00:00:00.000Z,117,4,False,2022,Final,Final,123,21,14,OKC,LAL,OKC,LAL,OKC,LAL,OKC,LAL,OKC,LAL
69,858306,2023-03-03T00:00:00.000Z,113,4,False,2022,Final,Final,97,8,15,DEN,MEM,DEN,MEM,DEN,MEM,DEN,MEM,DEN,MEM
70,858313,2023-03-04T00:00:00.000Z,110,4,False,2022,Final,Final,122,27,11,SAS,HOU,SAS,HOU,SAS,HOU,SAS,HOU,SAS,HOU
71,858317,2023-03-05T00:00:00.000Z,113,4,False,2022,Final,Final,105,14,10,LAL,GSW,LAL,GSW,LAL,GSW,LAL,GSW,LAL,GSW
72,857440,2022-10-29T00:00:00.000Z,111,5,False,2022,Final,Final,117,7,21,DAL,OKC,DAL,OKC,DAL,OKC,DAL,OKC,DAL,OKC
73,857429,2022-10-28T00:00:00.000Z,111,4,False,2022,Final,Final,102,18,14,MIN,LAL,MIN,LAL,MIN,LAL,MIN,LAL,MIN,LAL
74,857449,2022-10-30T00:00:00.000Z,107,4,False,2022,Final,Final,98,27,18,SAS,MIN,SAS,MIN,SAS,MIN,SAS,MIN,SAS,MIN
75,857457,2022-11-01T00:00:00.000Z,116,4,False,2022,Final,Final,108,21,22,OKC,ORL,OKC,ORL,OKC,ORL,OKC,ORL,OKC,ORL
76,857488,2022-11-05T00:00:00.000Z,108,4,False,2022,Final,Final,94,17,21,MIL,OKC,MIL,OKC,MIL,OKC,MIL,OKC,MIL,OKC
77,857463,2022-11-02T00:00:00.000Z,110,4,False,2022,Final,Final,107,16,26,MIA,SAC,MIA,SAC,MIA,SAC,MIA,SAC,MIA,SAC
78,857477,2022-11-04T00:00:00.000Z,111,4,False,2022,Final,Final,110,7,28,DAL,TOR,DAL,TOR,DAL,TOR,DAL,TOR,DAL,TOR
79,857592,2022-11-19T00:00:00.000Z,119,4,False,2022,Final,Final,97,13,27,LAC,SAS,LAC,SAS,LAC,SAS,LAC,SAS,LAC,SAS
80,857496,2022-11-06T00:00:00.000Z,102,4,False,2022,Final,Final,110,13,29,LAC,UTA,LAC,UTA,LAC,UTA,LAC,UTA,LAC,UTA
81,857507,2022-11-07T00:00:00.000Z,112,4,False,2022,Final,Final,103,9,21,DET,OKC,DET,OKC,DET,OKC,DET,OKC,DET,OKC
82,857519,2022-11-09T00:00:00.000Z,117,4,False,2022,Final,Final,129,18,24,MIN,PHX,MIN,PHX,MIN,PHX,MIN,PHX,MIN,PHX
83,857572,2022-11-16T00:00:00.000Z,103,4,False,2022,Final,Final,106,8,20,DEN,NYK,DEN,NYK,DEN,NYK,DEN,NYK,DEN,NYK
84,857581,2022-11-18T00:00:00.000Z,107,4,False,2022,Final,Final,108,5,22,CHI,ORL,CHI,ORL,CHI,ORL,CHI,ORL,CHI,ORL
85,857605,2022-11-21T00:00:00.000Z,121,4,False,2022,Final,Final,107,5,2,CHI,BOS,CHI,BOS,CHI,BOS,CHI,BOS,CHI,BOS
86,857595,2022-11-20T00:00:00.000Z,137,4,False,2022,Final,Final,129,26,9,SAC,DET,SAC,DET,SAC,DET,SAC,DET,SAC,DET
87,857622,2022-11-23T00:00:00.000Z,98,4,False,2022,Final,Final,112,28,3,TOR,BKN,TOR,BKN,TOR,BKN,TOR,BKN,TOR,BKN
88,857660,2022-11-28T00:00:00.000Z,115,4,False,2022,Final,Final,116,14,12,LAL,IND,LAL,IND,LAL,IND,LAL,IND,LAL,IND
89,857629,2022-11-25T00:00:00.000Z,128,4,False,2022,Final,Final,117,12,3,IND,BKN,IND,BKN,IND,BKN,IND,BKN,IND,BKN
90,857665,2022-11-29T00:00:00.000Z,110,4,False,2022,Final,Final,140,9,20,DET,NYK,DET,NYK,DET,NYK,DET,NYK,DET,NYK
91,857669,2022-11-30T00:00:00.000Z,113,4,False,2022,Final,Final,85,6,23,CLE,PHI,CLE,PHI,CLE,PHI,CLE,PHI,CLE,PHI
92,857684,2022-12-02T00:00:00.000Z,99,4,False,2022,Final,Final,117,27,19,SAS,NOP,SAS,NOP,SAS,NOP,SAS,NOP,SAS,NOP
93,857702,2022-12-04T00:00:00.000Z,92,4,False,2022,Final,Final,103,3,2,BKN,BOS,BKN,BOS,BKN,BOS,BKN,BOS,BKN,BOS
94,857697,2022-12-03T00:00:00.000Z,120,4,False,2022,Final,Final,101,10,11,GSW,HOU,GSW,HOU,GSW,HOU,GSW,HOU,GSW,HOU
95,857745,2022-12-10T00:00:00.000Z,110,4,False,2022,Final,Final,102,6,21,CLE,OKC,CLE,OKC,CLE,OKC,CLE,OKC,CLE,OKC
96,857719,2022-12-07T00:00:00.000Z,126,4,False,2022,Final,Final,113,28,14,TOR,LAL,TOR,LAL,TOR,LAL,TOR,LAL,TOR,LAL
97,857735,2022-12-09T00:00:00.000Z,114,4,False,2022,Final,Final,103,15,9,MEM,DET,MEM,DET,MEM,DET,MEM,DET,MEM,DET
98,857758,2022-12-12T00:00:00.000Z,128,4,False,2022,Final,Final,103,15,1,MEM,ATL,MEM,ATL,MEM,ATL,MEM,ATL,MEM,ATL
99,857749,2022-12-11T00:00:00.000Z,117,4,False,2022,Final,Final,124,9,14,DET,LAL,DET,LAL,DET,LAL,DET,LAL,DET,LAL
100,857369,2022-10-20T00:00:00.000Z,97,4,False,2022,Final,Final,103,14,13,LAL,LAC,LAL,LAC,LAL,LAC,LAL,LAC,LAL,LAC
101,857370,2022-10-20T00:00:00.000Z,88,4,False,2022,Final,Final,90,23,17,PHI,MIL,PHI,MIL,PHI,MIL,PHI,MIL,PHI,MIL
102,857381,2022-10-21T00:00:00.000Z,113,5,False,2022,Final,Final,111,25,24,POR,PHX,POR,PHX,POR,PHX,POR,PHX,POR,PHX
103,857374,2022-10-21T00:00:00.000Z,102,4,False,2022,Final,Final,100,30,5,WAS,CHI,WAS,CHI,WAS,CHI,WAS,CHI,WAS,CHI
104,857376,2022-10-21T00:00:00.000Z,122,4,False,2022,Final,Final,129,11,15,HOU,MEM,HOU,MEM,HOU,MEM,HOU,MEM,HOU,MEM
105,857373,2022-10-21T00:00:00.000Z,134,4,False,2022,Final,Final,137,12,27,IND,SAS,IND,SAS,IND,SAS,IND,SAS,IND,SAS
106,857379,2022-10-21T00:00:00.000Z,112,4,False,2022,Final,Final,124,4,19,CHA,NOP,CHA,NOP,CHA,NOP,CHA,NOP,CHA,NOP
107,857371,2022-10-21T00:00:00.000Z,109,4,False,2022,Final,Final,105,3,28,BKN,TOR,BKN,TOR,BKN,TOR,BKN,TOR,BKN,TOR
108,857380,2022-10-21T00:00:00.000Z,108,4,False,2022,Final,Final,98,1,22,ATL,ORL,ATL,ORL,ATL,ORL,ATL,ORL,ATL,ORL
109,857375,2022-10-21T00:00:00.000Z,104,4,False,2022,Final,Final,111,16,2,MIA,BOS,MIA,BOS,MIA,BOS,MIA,BOS,MIA,BOS
110,857378,2022-10-21T00:00:00.000Z,126,5,False,2022,Final,Final,132,18,29,MIN,UTA,MIN,UTA,MIN,UTA,MIN,UTA,MIN,UTA
111,857377,2022-10-21T00:00:00.000Z,123,4,False,2022,Final,Final,128,10,8,GSW,DEN,GSW,DEN,GSW,DEN,GSW,DEN,GSW,DEN
112,857372,2022-10-21T00:00:00.000Z,130,4,False,2022,Final,Final,106,20,9,NYK,DET,NYK,DET,NYK,DET,NYK,DET,NYK,DET
113,857388,2022-10-22T00:00:00.000Z,122,4,False,2022,Final,Final,117,8,21,DEN,OKC,DEN,OKC,DEN,OKC,DEN,OKC,DEN,OKC
114,857385,2022-10-22T00:00:00.000Z,120,4,False,2022,Final,Final,126,22,2,ORL,BOS,ORL,BOS,ORL,BOS,ORL,BOS,ORL,BOS
115,857382,2022-10-22T00:00:00.000Z,105,4,False,2022,Final,Final,114,23,27,PHI,SAS,PHI,SAS,PHI,SAS,PHI,SAS,PHI,SAS
116,857389,2022-10-22T00:00:00.000Z,125,4,False,2022,Final,Final,105,17,11,MIL,HOU,MIL,HOU,MIL,HOU,MIL,HOU,MIL,HOU
117,857383,2022-10-22T00:00:00.000Z,96,4,False,2022,Final,Final,128,5,6,CHI,CLE,CHI,CLE,CHI,CLE,CHI,CLE,CHI,CLE
118,857390,2022-10-22T00:00:00.000Z,137,4,False,2022,Final,Final,96,7,15,DAL,MEM,DAL,MEM,DAL,MEM,DAL,MEM,DAL,MEM
119,857386,2022-10-22T00:00:00.000Z,124,4,False,2022,Final,Final,115,12,9,IND,DET,IND,DET,IND,DET,IND,DET,IND,DET
120,857387,2022-10-22T00:00:00.000Z,109,4,False,2022,Final,Final,111,26,13,SAC,LAC,SAC,LAC,SAC,LAC,SAC,LAC,SAC,LAC
121,857384,2022-10-22T00:00:00.000Z,112,4,False,2022,Final,Final,109,16,28,MIA,TOR,MIA,TOR,MIA,TOR,MIA,TOR,MIA,TOR
122,857391,2022-10-23T00:00:00.000Z,104,4,False,2022,Final,Final,106,14,25,LAL,POR,LAL,POR,LAL,POR,LAL,POR,LAL,POR
