,Unnamed: 0,id,date,home_team_score,period,postseason,season,visitor_team_score,home_team_id,visitor_team_id,visitor_team_name,visitor_team_name,home_team_name
47,47,857416,2022-10-26,134,4,False,2022,122,18,27,San Antonio Spurs,San Antonio Spurs,Minnesota Timberwolves
48,48,857410,2022-10-26,98,4,False,2022,119,25,16,Miami Heat,Miami Heat,Portland Trail Blazers
49,49,858055,2023-01-22,116,4,False,2022,120,10,3,Brooklyn Nets,Brooklyn Nets,Golden State Warriors
50,50,858047,2023-01-21,114,4,False,2022,102,6,17,Milwaukee Bucks,Milwaukee Bucks,Cleveland Cavaliers
51,51,858063,2023-01-23,133,4,False,2022,100,26,15,Memphis Grizzlies,Memphis Grizzlies,Sacramento Kings
52,52,858072,2023-01-24,128,4,False,2022,97,24,4,Charlotte Hornets,Charlotte Hornets,Phoenix Suns
53,53,858077,2023-01-25,137,4,False,2022,133,23,3,Brooklyn Nets,Brooklyn Nets,Philadelphia 76ers
54,54,858085,2023-01-26,111,4,False,2022,96,4,5,Chicago Bulls,Chicago Bulls,Charlotte Hornets
55,55,858159,2023-02-05,128,4,False,2022,98,18,8,Denver Nuggets,Denver Nuggets,Minnesota Timberwolves
56,56,858163,2023-02-06,116,4,False,2022,124,3,13,LA Clippers,LA Clippers,Brooklyn Nets
57,57,858173,2023-02-07,104,4,False,2022,89,15,5,Chicago Bulls,Chicago Bulls,Memphis Grizzlies
58,58,858188,2023-02-09,106,4,False,2022,115,14,17,Milwaukee Bucks,Milwaukee Bucks,Los Angeles Lakers
59,59,858201,2023-02-11,127,4,False,2022,113,30,12,Indiana Pacers,Indiana Pacers,Washington Wizards
60,60,858220,2023-02-13,117,4,False,2022,123,12,29,Utah Jazz,Utah Jazz,Indiana Pacers
61,61,858226,2023-02-14,134,4,False,2022,124,13,10,Golden State Warriors,Golden State Warriors,LA Clippers
62,62,858232,2023-02-15,101,4,False,2022,122,1,20,New York Knicks,New York Knicks,Atlanta Hawks
63,63,858245,2023-02-23,124,4,False,2022,111,14,10,Golden State Warriors,Golden State Warriors,Los Angeles Lakers
64,64,858251,2023-02-24,175,6,False,2022,176,13,26,Sacramento Kings,Sacramento Kings,LA Clippers
65,65,858261,2023-02-25,118,4,False,2022,102,29,27,San Antonio Spurs,San Antonio Spurs,Utah Jazz
66,66,858268,2023-02-26,108,4,False,2022,111,7,14,Los Angeles Lakers,Los Angeles Lakers,Dallas Mavericks
67,67,858283,2023-02-28,117,4,False,2022,123,21,26,Sacramento Kings,Sacramento Kings,Oklahoma City Thunder
68,68,858292,2023-03-01,117,4,False,2022,123,21,14,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder
69,69,858306,2023-03-03,113,4,False,2022,97,8,15,Memphis Grizzlies,Memphis Grizzlies,Denver Nuggets
70,70,858313,2023-03-04,110,4,False,2022,122,27,11,Houston Rockets,Houston Rockets,San Antonio Spurs
71,71,858317,2023-03-05,113,4,False,2022,105,14,10,Golden State Warriors,Golden State Warriors,Los Angeles Lakers
